, , west
, , west
, , west
, , west
, , west
, , west
, , west
1, a, 
1, a, 
1, a, 
1, a, 
1, a, 
1, a, 
1, a, 
1, a, 
1, a, 
1, a, 
1, a, 
1, a, 
1, b, 
1, c, 
1, d, 
1, d, 
2, d, 
3, d, 
1, a, 
1, b, 
1, c, 
1, d, 
1, d, 
2, d, 
3, d, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, e, 
2, e, 
3, e, 
4, e, 
5, e, 
1, a, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, a, 
1, a, 
2, a, 
3, a, 
4, a, 
5, a, 
2, c, 
2, c, 
2, d, 
2, e, 
2, e, 
3, e, 
4, e, 
5, e, 
1, a, 
1, b, 
1, d, 
1, d, 
1, e, 
1, e, 
2, e, 
3, e, 
4, e, 
5, e, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, e, 
2, e, 
3, e, 
4, e, 
5, e, 
1, a, 
1, b, 
1, c, 
1, d, 
1, d, 
2, d, 
3, d, 
1, a, 
1, b, 
1, c, 
1, d, 
1, d, 
2, d, 
3, d, 
1, a, 
1, b, 
1, c, 
1, d, 
1, d, 
2, d, 
3, d, 
3, d, 
3, d, 
3, c, 
3, b, 
3, a, 
3, a, 
4, a, 
5, a, 
5, a, 
5, a, 
5, b, 
5, c, 
5, d, 
5, e, 
1, a, 
1, b, 
1, c, 
1, d, 
1, d, 
2, d, 
3, d, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, e, 
2, e, 
3, e, 
4, e, 
5, e, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, a, 
1, b, 
1, c, 
1, d, 
1, d, 
2, d, 
3, d, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, e, 
2, e, 
3, e, 
4, e, 
5, e, 
1, a, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, e, 
2, e, 
3, e, 
4, e, 
5, e, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, a, 
1, a, 
2, a, 
3, a, 
4, a, 
5, a, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, e, 
2, e, 
3, e, 
4, e, 
5, e, 
1, a, 
1, b, 
1, c, 
1, c, 
2, c, 
1, a, 
1, b, 
1, c, 
1, c, 
2, c, 
3, c, 
1, a, 
1, b, 
1, c, 
1, c, 
2, c, 
3, c, 
4, c, 
1, a, 
1, b, 
1, c, 
1, d, 
1, d, 
2, d, 
3, d, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, e, 
2, e, 
3, e, 
4, e, 
5, e, 
5, e, 
5, e, 
5, d, 
5, c, 
5, c, 
4, c, 
3, c, 
2, c, 
1, c, 
1, c, 
1, c, 
1, c, 
2, c, 
3, c, 
4, c, 
4, c, 
4, c, 
4, b, 
4, a, 
1, a, 
1, b, 
1, c, 
1, d, 
1, e, 
1, e, 
2, e, 
3, e, 
3, e, 
3, e, 
3, d, 
3, c, 
3, b, 
3, a, 
3, a, 
4, a, 
4, a, 
4, a, 
4, b, 
4, c, 
4, d, 
4, e, 
4, e, 
3, e, 
2, e, 
1, e, 
